ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.596,0.43,1.00,0.593,0.010,0.42
BLAST-S14,0.98,0.590,0.43,0.98,0.590,0.011,0.43
Naive-S11,1.00,0.649,0.07,1.00,0.649,0.004,0.07
Naive-S14,1.00,0.649,0.12,1.00,0.649,0.004,0.12
101-1,0.94,0.587,0.37,0.94,0.587,0.010,0.37
101-2,0.93,0.591,0.01,0.93,0.592,0.013,0.03
101-3,0.94,0.561,0.13,0.94,0.561,0.011,0.12
102-1,1.00,0.555,0.49,1.00,0.553,0.012,0.47
102-2,0.97,0.559,0.46,0.97,0.558,0.012,0.48
102-3,0.02,0.982,0.03,0.02,0.982,0.008,0.08
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.51,0.704,0.17,0.51,0.704,0.018,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.98,0.577,0.91,0.98,0.576,0.011,0.91
105-2,0.96,0.576,0.96,0.96,0.575,0.011,0.96
105-3,0.97,0.571,1.00,0.97,0.571,0.011,1.00
106-1,0.73,0.662,0.07,0.73,0.662,0.014,0.07
106-2,0.38,0.816,0.60,0.38,0.816,0.015,0.60
106-3,0.30,0.826,0.07,0.30,0.826,0.017,0.07
107-1,0.99,0.593,0.76,0.99,0.591,0.010,0.77
107-2,0.99,0.572,0.02,0.99,0.572,0.011,0.02
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.926,0.22,1.00,0.926,0.005,0.22
110-2,0.94,0.582,0.30,0.94,0.581,0.009,0.34
110-3,1.00,0.655,0.96,1.00,0.655,0.007,0.96
111-1,0.93,0.844,0.01,0.93,0.844,0.014,0.01
111-2,0.99,0.653,0.56,0.99,0.652,0.007,0.59
111-3,0.21,0.900,0.01,0.21,0.900,0.014,0.01
112-1,1.00,0.566,0.39,1.00,0.565,0.010,0.40
112-2,1.00,0.567,0.34,1.00,0.565,0.010,0.37
112-3,0.99,0.578,0.39,0.99,0.577,0.010,0.38
113-1,0.99,0.576,0.34,0.99,0.576,0.009,0.35
113-2,0.87,0.671,0.71,0.87,0.670,0.006,0.81
113-3,0.21,0.896,0.01,0.22,0.896,0.014,0.01
114-1,1.00,0.532,0.69,1.00,0.532,0.012,0.67
115-1,1.00,0.542,0.32,1.00,0.542,0.012,0.31
116-1,0.68,0.669,0.23,0.68,0.669,0.016,0.24
116-2,0.59,0.732,0.24,0.59,0.732,0.016,0.25
117-1,1.00,0.584,0.10,1.00,0.582,0.011,0.10
117-2,0.17,0.882,1.00,0.17,0.883,0.017,1.00
119-1,0.96,0.547,0.69,0.96,0.547,0.011,0.69
120-1,1.00,0.533,0.93,1.00,0.533,0.012,0.93
120-2,1.00,0.575,0.53,1.00,0.575,0.009,0.53
120-3,0.71,0.716,0.44,0.71,0.716,0.013,0.44
121-1,0.53,0.693,0.60,0.53,0.693,0.018,0.60
121-2,0.03,0.978,0.72,0.03,0.978,0.008,0.77
121-3,0.69,0.640,0.01,0.69,0.640,0.017,0.01
122-1,0.86,0.607,0.71,0.86,0.607,0.015,0.73
124-1,1.00,0.627,0.30,1.00,0.627,0.007,0.30
124-2,1.00,0.647,0.14,1.00,0.647,0.005,0.15
124-3,1.00,0.640,0.30,1.00,0.639,0.006,0.28
125-1,0.97,0.532,0.69,0.97,0.532,0.012,0.66
125-2,0.90,0.567,0.26,0.90,0.566,0.011,0.26
125-3,1.00,0.568,0.61,1.00,0.568,0.011,0.61
126-1,0.47,0.789,0.25,0.47,0.789,0.017,0.25
127-1,0.96,0.541,0.43,0.96,0.541,0.013,0.42
127-2,0.93,0.527,0.11,0.93,0.527,0.013,0.11
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.50,0.667,0.01,0.50,0.668,0.012,0.01
129-1,0.99,0.547,0.42,0.99,0.547,0.012,0.42
129-2,0.74,0.604,0.40,0.74,0.604,0.011,0.40
129-3,0.99,0.549,0.42,0.99,0.549,0.012,0.42
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.74,0.598,0.03,0.74,0.598,0.015,0.04
131-2,0.74,0.596,0.03,0.74,0.596,0.015,0.03
131-3,0.97,0.573,0.06,0.97,0.571,0.011,0.06
132-1,1.00,0.565,0.45,1.00,0.565,0.011,0.45
132-2,0.99,0.581,0.42,0.99,0.581,0.010,0.43
65-1,0.97,0.624,0.17,0.97,0.624,0.008,0.17
65-2,0.95,0.620,0.16,0.95,0.621,0.009,0.16
65-3,0.97,0.623,0.17,0.97,0.622,0.009,0.17
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-2,1.00,0.549,0.25,1.00,0.548,0.011,0.29
70-1,1.00,0.566,0.06,1.00,0.566,0.009,0.06
70-2,1.00,0.620,0.10,1.00,0.620,0.006,0.10
70-3,1.00,0.622,0.09,1.00,0.622,0.007,0.10
72-1,1.00,0.586,0.01,1.00,0.587,0.015,0.01
72-2,0.95,0.765,0.01,0.95,0.765,0.016,0.01
73-1,1.00,0.630,0.98,1.00,0.629,0.007,0.98
73-2,1.00,0.630,0.98,1.00,0.629,0.007,0.98
73-3,0.99,0.714,1.00,0.99,0.715,0.013,1.00
74-1,0.51,0.686,0.01,0.51,0.687,0.017,0.01
74-2,0.97,0.576,0.11,0.97,0.576,0.010,0.12
75-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
75-2,1.00,0.538,0.44,1.00,0.538,0.012,0.46
79-1,0.87,0.558,0.04,0.87,0.558,0.012,0.05
79-2,0.65,0.622,0.01,0.65,0.622,0.015,0.01
79-3,0.98,0.547,0.06,0.98,0.547,0.011,0.07
80-1,0.55,0.671,0.01,0.55,0.672,0.016,0.01
80-2,0.99,0.569,0.15,0.99,0.568,0.010,0.17
81-1,0.80,0.606,0.03,0.80,0.606,0.015,0.03
81-2,0.80,0.606,0.03,0.80,0.606,0.015,0.03
82-1,0.93,0.578,0.66,0.93,0.578,0.011,0.66
83-1,0.94,0.559,0.15,0.94,0.558,0.010,0.15
83-2,0.94,0.558,0.15,0.94,0.557,0.010,0.14
84-1,0.70,0.668,0.04,0.70,0.668,0.005,0.04
85-1,0.97,0.532,0.09,0.97,0.532,0.012,0.09
85-2,1.00,0.547,0.43,1.00,0.546,0.011,0.41
86-1,0.75,0.725,0.30,0.75,0.725,0.019,0.30
86-2,0.75,0.725,0.30,0.75,0.725,0.019,0.30
86-3,0.68,0.774,0.30,0.68,0.774,0.019,0.30
87-1,0.91,0.554,0.36,0.91,0.554,0.012,0.34
87-2,0.91,0.568,0.17,0.91,0.566,0.012,0.17
87-3,0.75,0.579,0.20,0.75,0.580,0.015,0.21
88-1,0.94,0.523,0.40,0.94,0.521,0.015,0.30
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.38,0.727,0.02,0.38,0.728,0.010,0.02
91-2,0.38,0.784,1.00,0.38,0.784,0.015,1.00
91-3,0.38,0.727,0.46,0.38,0.728,0.010,0.46
93-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
94-1,1.00,0.532,0.42,1.00,0.532,0.012,0.58
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.92,0.705,1.00,0.92,0.706,0.005,1.00
96-2,0.84,0.684,1.00,0.84,0.685,0.004,1.00
96-3,0.90,0.687,1.00,0.90,0.687,0.003,1.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,0.01,0.989,0.40,0.01,0.989,0.006,0.40
99-1,0.97,0.533,0.08,0.97,0.533,0.013,0.08
