ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.90,0.607,0.31,0.90,0.599,0.027,0.32
BLAST-S14,0.95,0.556,0.35,0.95,0.559,0.034,0.35
Naive-S11,1.00,0.595,0.28,1.00,0.590,0.013,0.24
Naive-S14,1.00,0.562,0.22,1.00,0.561,0.019,0.24
101-1,0.86,0.439,0.01,0.86,0.443,0.041,0.05
101-2,0.19,0.368,0.23,0.19,0.374,0.092,0.21
101-3,0.86,0.422,0.02,0.86,0.423,0.041,0.03
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.60,0.495,0.04,0.60,0.485,0.041,0.10
103-2,0.83,0.514,0.04,0.83,0.511,0.037,0.03
103-3,0.62,0.474,0.17,0.62,0.476,0.065,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.495,0.92,0.98,0.486,0.038,0.85
105-2,0.95,0.421,0.98,0.95,0.423,0.039,0.98
105-3,0.98,0.438,1.00,0.98,0.435,0.038,1.00
106-1,0.52,0.420,0.07,0.52,0.424,0.065,0.07
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.40,0.388,0.07,0.40,0.392,0.079,0.07
107-1,1.00,0.541,0.72,1.00,0.537,0.031,0.74
107-2,1.00,0.448,0.03,1.00,0.448,0.043,0.03
107-3,0.98,0.444,0.02,0.98,0.445,0.042,0.02
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.93,0.553,0.54,0.93,0.552,0.032,0.57
110-2,0.81,0.606,0.52,0.81,0.606,0.024,0.55
110-3,0.98,0.622,1.00,0.98,0.623,0.044,1.00
111-1,0.93,0.553,0.54,0.93,0.552,0.032,0.57
111-2,0.98,0.622,1.00,0.98,0.623,0.044,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
