ID-model,GO:0005575,GO:0045202,GO:0044456,GO:0097458,GO:0031410,GO:0005739,GO:0031981,GO:0042995,GO:0005829,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0048471,GO:0044459,GO:0009986,GO:0044427,GO:0044430,GO:0005694,GO:0005912,GO:0000785,GO:0005856,GO:0005576,GO:0043228,GO:0043232,GO:0070161,GO:0044421,GO:0005783,GO:0005634,GO:0043234,GO:0005730,GO:0030055,GO:0030054,GO:0032991,GO:0044425,GO:0005886,GO:0005794,GO:0071944,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0005615,GO:0044444,GO:0044422,GO:0031988,GO:0031982,GO:0005768,GO:0044446,GO:0044424,GO:0043231,GO:0005622,GO:0043229,GO:0043226,GO:0043227,GO:0005737,GO:0065010,GO:0043230,GO:0070062,GO:0005623,GO:0044464,GO:0044432,GO:0016020,GO:0031090,GO:0012505,GO:0005654
BLAST-S11,NaN,0.98,0.98,0.90,0.83,0.77,0.75,0.77,0.62,0.71,0.71,0.71,0.70,0.65,0.70,0.67,0.66,0.67,0.64,0.64,0.65,0.64,0.61,0.62,0.62,0.62,0.59,0.58,0.60,0.62,0.60,0.62,0.63,0.62,0.58,0.61,0.62,0.60,0.60,0.50,0.60,0.50,0.61,0.57,0.58,0.56,0.56,0.61,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.53,0.50,0.50,0.50,0.52,0.52,0.49,0.53,0.48,0.43,0.52
BLAST-S14,NaN,0.98,0.98,0.89,0.79,0.77,0.74,0.74,0.72,0.72,0.71,0.71,0.70,0.69,0.69,0.69,0.68,0.67,0.67,0.66,0.65,0.65,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.53,0.52,0.52,0.48,0.48
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.99,0.95,0.77,0.81,0.75,0.72,0.65,0.62,0.69,0.69,0.68,0.67,0.77,0.69,0.55,0.61,0.75,0.64,0.56,0.62,0.70,0.62,0.63,0.63,0.56,0.56,0.72,0.61,0.56,0.69,0.57,0.59,0.56,0.66,0.63,0.73,0.62,0.57,0.69,0.57,0.69,0.60,0.65,0.59,0.51,0.51,0.62,0.59,0.58,0.58,0.58,0.59,0.53,0.52,0.60,0.50,0.50,0.50,0.55,0.55,0.62,0.58,0.65,0.63,0.55
101-2,NaN,0.54,0.54,0.50,0.49,0.56,0.50,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.49,0.50,0.49,0.54,0.49,0.50,0.49,0.56,0.51,0.54,0.54,0.50,0.51,0.54,0.53,0.50,0.50,0.50,0.52,0.49,0.52,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.52,0.50,0.50,0.53,0.52,0.50,0.51,0.50,0.51,0.49,0.49,0.49,0.50,0.50,0.50,0.48,0.48,0.50,0.50,0.52,0.54,0.50
101-3,NaN,0.99,0.95,0.78,0.81,0.77,0.73,0.64,0.62,0.70,0.70,0.70,0.69,0.77,0.69,0.55,0.61,0.77,0.65,0.56,0.62,0.70,0.62,0.66,0.66,0.56,0.56,0.73,0.69,0.59,0.70,0.57,0.59,0.60,0.65,0.63,0.74,0.62,0.57,0.71,0.57,0.71,0.60,0.71,0.66,0.51,0.52,0.63,0.66,0.64,0.66,0.64,0.66,0.55,0.55,0.62,0.50,0.50,0.50,0.58,0.58,0.63,0.61,0.70,0.66,0.55
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
