ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,8.431,0.46,0.99,8.351,0.637,0.47
BLAST-S14,0.94,8.019,0.50,0.94,8.023,0.628,0.51
Naive-S11,1.00,8.906,0.30,1.00,8.903,0.571,0.28
Naive-S14,1.00,8.947,0.43,1.00,8.940,0.567,0.40
101-1,0.91,8.116,0.43,0.91,8.081,0.600,0.43
101-2,0.90,6.546,0.40,0.90,6.453,0.519,0.32
101-3,0.91,5.984,0.75,0.91,5.943,0.506,0.67
102-1,0.94,6.870,0.77,0.94,6.856,0.548,0.76
102-2,0.85,7.881,0.89,0.85,7.849,0.543,0.89
102-3,0.13,8.670,0.73,0.13,8.670,0.545,0.73
103-1,0.76,7.290,0.26,0.76,7.188,0.546,0.32
103-2,0.84,6.132,0.77,0.84,6.101,0.586,0.74
103-3,0.78,6.699,0.17,0.78,6.693,0.567,0.19
104-1,0.00,9.734,1.00,0.00,9.737,0.594,1.00
104-2,0.00,9.734,1.00,0.00,9.737,0.594,1.00
104-3,0.00,9.734,1.00,0.00,9.737,0.594,1.00
105-1,0.97,8.602,0.93,0.97,8.631,0.570,0.93
105-2,0.97,10.764,1.00,0.97,10.832,1.501,1.00
105-3,0.97,15.320,1.00,0.97,15.395,2.296,1.00
106-1,0.85,7.670,0.40,0.85,7.580,0.589,0.50
106-2,0.50,8.194,0.84,0.50,8.196,0.582,0.84
106-3,0.50,6.913,0.09,0.50,6.924,0.570,0.13
107-1,1.00,9.551,1.00,1.00,9.687,1.912,0.99
107-2,1.00,7.595,0.16,1.00,7.473,0.599,0.15
107-3,0.99,8.077,0.11,0.99,7.965,0.596,0.13
108-1,0.00,9.734,1.00,0.00,9.737,0.594,1.00
109-1,0.00,9.734,1.00,0.00,9.737,0.594,1.00
110-1,0.93,8.877,0.98,0.93,8.824,0.605,0.96
110-2,0.94,7.261,0.68,0.94,7.198,0.546,0.62
110-3,1.00,13.413,1.00,1.00,13.434,0.642,1.00
111-1,0.93,8.877,0.98,0.93,8.824,0.605,0.96
111-2,1.00,13.413,1.00,1.00,13.434,0.642,1.00
111-3,0.00,9.734,1.00,0.00,9.737,0.594,1.00
112-1,1.00,7.425,0.54,1.00,7.365,0.565,0.59
112-2,1.00,7.493,0.59,1.00,7.370,0.566,0.59
112-3,1.00,7.486,0.54,1.00,7.474,0.565,0.55
113-1,1.00,7.593,0.55,1.00,7.486,0.569,0.54
113-2,0.99,13.614,1.00,0.99,13.633,0.676,1.00
113-3,0.85,9.244,0.98,0.85,9.150,0.632,0.95
114-1,1.00,6.490,1.00,1.00,6.510,0.675,1.00
115-1,1.00,6.272,0.86,1.00,6.102,0.533,0.77
116-1,0.88,6.212,0.61,0.88,6.130,0.523,0.68
116-2,0.84,6.351,0.49,0.84,6.357,0.579,0.55
117-1,1.00,7.532,0.13,1.00,7.442,0.552,0.13
117-2,0.28,8.501,1.00,0.28,8.527,0.622,1.00
119-1,0.96,6.998,0.92,0.96,6.947,0.566,0.92
120-1,1.00,6.588,1.00,1.00,6.626,0.718,1.00
120-2,1.00,9.285,0.83,1.00,9.243,0.585,0.80
120-3,0.81,9.544,0.73,0.81,9.476,0.586,0.83
121-1,0.81,6.694,0.51,0.81,6.726,0.571,0.55
121-2,0.07,9.260,0.61,0.07,9.263,0.645,0.65
121-3,0.84,6.313,0.81,0.84,6.259,0.552,0.73
122-1,0.74,7.029,0.90,0.74,7.060,0.567,0.88
124-1,1.00,8.748,0.32,1.00,8.760,0.566,0.34
124-2,1.00,9.539,0.42,1.00,9.536,0.590,0.44
124-3,1.00,8.524,0.32,1.00,8.548,0.558,0.32
125-1,1.00,6.490,1.00,1.00,6.510,0.675,1.00
125-2,0.96,6.947,0.55,0.96,6.785,0.647,0.52
125-3,0.99,8.059,0.62,0.99,7.975,0.541,0.64
126-1,0.62,7.885,0.55,0.62,7.872,0.614,0.56
127-1,0.90,6.606,0.78,0.90,6.533,0.549,0.79
127-2,0.88,7.221,0.36,0.88,7.043,0.540,0.30
127-3,0.00,9.734,1.00,0.00,9.737,0.594,1.00
128-1,0.75,10.637,0.80,0.75,10.781,1.760,0.83
129-1,0.96,7.780,0.56,0.96,7.690,0.579,0.57
129-2,0.00,9.734,1.00,0.00,9.737,0.594,1.00
129-3,0.96,7.780,0.56,0.96,7.690,0.579,0.57
130-1,0.00,9.734,1.00,0.00,9.737,0.594,1.00
130-2,0.00,9.734,1.00,0.00,9.737,0.594,1.00
130-3,0.00,9.734,1.00,0.00,9.737,0.594,1.00
131-1,0.74,6.554,0.53,0.73,6.586,0.562,0.56
131-2,0.82,6.561,0.10,0.82,6.535,0.619,0.59
131-3,0.93,6.497,0.49,0.93,6.422,0.558,0.53
132-1,1.00,7.472,0.59,1.00,7.461,0.562,0.59
132-2,1.00,7.540,0.59,1.00,7.532,0.561,0.58
65-1,0.94,8.656,0.30,0.94,8.644,0.595,0.30
65-2,0.87,8.677,0.29,0.87,8.663,0.594,0.30
65-3,0.94,8.691,0.31,0.94,8.679,0.593,0.32
68-1,0.00,9.734,1.00,0.00,9.737,0.594,1.00
