ID-model,GO:0003674,GO:0022857,GO:0005215,GO:0016787,GO:0016772,GO:0003676,GO:0003824,GO:1901363,GO:0097159,GO:0016740,GO:0005488,GO:0042802,GO:0005515
BLAST-S11,NaN,0.86,0.86,0.76,0.82,0.71,0.73,0.67,0.67,0.75,0.55,0.52,0.53
BLAST-S14,NaN,0.99,0.98,0.84,0.82,0.80,0.77,0.74,0.74,0.73,0.55,0.50,0.46
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.77,0.90,0.96,0.95,0.92,0.87,0.81,0.81,0.86,0.46,0.47,0.51
101-2,NaN,0.77,0.91,0.85,0.89,0.97,0.87,0.92,0.92,0.85,0.61,0.49,0.55
101-3,NaN,0.77,0.91,0.99,0.98,0.95,0.95,0.90,0.90,0.91,0.63,0.47,0.52
102-1,NaN,0.89,0.88,0.88,0.88,0.89,0.88,0.78,0.78,0.82,0.65,0.56,0.64
102-2,NaN,0.94,0.99,0.85,0.90,0.73,0.93,0.64,0.64,0.86,0.56,0.52,0.67
102-3,NaN,1.00,1.00,NaN,1.00,0.62,1.00,0.50,0.50,1.00,0.43,NaN,NaN
103-1,NaN,0.57,0.99,0.96,0.94,0.96,0.94,0.93,0.93,0.88,0.70,0.50,0.63
103-2,NaN,0.74,1.00,0.93,0.97,0.96,0.88,0.93,0.93,0.86,0.65,0.49,0.63
103-3,NaN,0.81,1.00,0.99,0.90,0.96,0.91,0.93,0.93,0.88,0.67,0.50,0.55
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.93,0.93,0.94,0.93,0.95,0.89,0.82,0.82,0.85,0.59,0.52,0.59
105-2,NaN,0.95,0.94,0.96,0.95,0.96,0.92,0.82,0.82,0.87,0.57,0.49,0.53
105-3,NaN,0.99,0.99,0.94,0.87,0.95,0.86,0.79,0.79,0.80,0.56,0.52,0.52
106-1,NaN,0.75,0.94,0.77,0.69,0.84,0.73,0.78,0.78,0.67,0.59,0.49,0.52
106-2,NaN,0.50,0.50,0.62,0.60,0.60,0.66,0.75,0.75,0.61,0.64,0.50,0.50
106-3,NaN,0.75,1.00,0.91,1.00,0.99,0.99,0.92,0.92,0.95,0.80,0.49,0.56
107-1,NaN,0.93,0.93,0.95,0.96,0.93,0.93,0.75,0.75,0.89,0.36,0.51,0.52
107-2,NaN,0.90,0.92,0.95,0.94,0.97,0.92,0.87,0.87,0.90,0.58,0.51,0.55
107-3,NaN,0.94,0.96,0.94,0.89,0.95,0.89,0.86,0.86,0.86,0.57,0.51,0.49
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.93,0.93,0.89,0.88,0.74,0.85,0.69,0.69,0.83,0.77,0.45,0.80
110-2,NaN,0.82,0.88,0.93,0.96,0.83,0.90,0.80,0.80,0.90,0.71,0.49,0.67
110-3,NaN,0.66,0.62,0.62,0.70,0.59,0.60,0.73,0.73,0.61,0.70,0.54,0.75
111-1,NaN,0.93,0.93,0.89,0.88,0.74,0.85,0.69,0.69,0.83,0.77,0.45,0.80
111-2,NaN,0.66,0.62,0.62,0.70,0.59,0.60,0.73,0.73,0.61,0.70,0.54,0.75
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.85,0.83,0.93,0.97,0.88,0.89,0.83,0.83,0.88,0.77,0.40,0.77
112-2,NaN,0.85,0.84,0.94,0.97,0.88,0.90,0.83,0.83,0.89,0.78,0.39,0.77
112-3,NaN,0.85,0.83,0.91,0.96,0.88,0.86,0.82,0.82,0.88,0.72,0.40,0.71
113-1,NaN,0.85,0.84,0.92,0.97,0.88,0.86,0.82,0.82,0.89,0.73,0.39,0.71
113-2,NaN,0.66,0.61,0.49,0.67,0.58,0.59,0.71,0.71,0.55,0.64,0.54,0.63
113-3,NaN,0.92,0.92,0.87,0.86,0.74,0.77,0.67,0.67,0.79,0.69,0.48,0.77
114-1,NaN,0.98,1.00,0.97,0.97,0.97,0.93,0.87,0.87,0.89,0.56,0.43,0.74
115-1,NaN,0.93,0.97,0.99,0.89,0.96,0.92,0.87,0.87,0.85,0.59,0.50,0.73
116-1,NaN,0.81,1.00,0.99,0.84,0.95,0.89,0.84,0.84,0.83,0.63,0.49,0.55
116-2,NaN,0.58,0.92,0.90,0.61,0.78,0.84,0.72,0.72,0.68,0.58,0.50,0.50
117-1,NaN,0.85,0.84,0.91,0.94,0.89,0.90,0.73,0.73,0.86,0.48,0.37,0.47
117-2,NaN,1.00,1.00,0.88,0.88,0.80,0.93,0.85,0.85,0.93,0.77,0.50,0.48
119-1,NaN,0.94,0.93,0.91,0.97,0.98,0.85,0.90,0.90,0.87,0.55,0.57,0.69
120-1,NaN,0.99,1.00,0.97,0.98,0.96,0.93,0.85,0.85,0.90,0.57,0.58,0.82
120-2,NaN,0.88,0.88,0.46,0.54,0.62,0.59,0.68,0.74,0.53,0.63,0.52,0.62
120-3,NaN,0.82,0.93,0.48,0.59,0.48,0.77,0.59,0.68,0.54,0.62,0.50,0.50
121-1,NaN,0.81,1.00,0.98,0.88,0.95,0.88,0.82,0.82,0.87,0.55,0.50,0.55
121-2,NaN,NaN,NaN,NaN,NaN,0.50,NaN,0.50,0.50,0.00,0.50,NaN,NaN
121-3,NaN,0.88,1.00,0.98,0.94,0.96,0.90,0.91,0.91,0.91,0.62,0.49,0.66
122-1,NaN,1.00,1.00,0.94,0.88,0.84,0.88,0.79,0.79,0.87,0.64,0.50,0.57
124-1,NaN,0.89,0.87,0.53,0.84,0.68,0.13,0.52,0.52,0.75,0.68,0.51,0.53
124-2,NaN,0.49,0.45,0.45,0.60,0.54,0.12,0.55,0.55,0.40,0.47,0.50,0.35
124-3,NaN,0.89,0.87,0.12,0.83,0.66,0.12,0.33,0.33,0.68,0.68,0.51,0.53
125-1,NaN,0.82,1.00,0.97,0.93,0.97,0.93,0.87,0.87,0.88,0.58,0.43,0.76
125-2,NaN,0.90,0.90,0.94,0.95,0.90,0.92,0.79,0.79,0.91,0.39,0.52,0.46
125-3,NaN,0.87,0.87,0.90,0.86,0.83,0.87,0.71,0.71,0.79,0.66,0.45,0.60
126-1,NaN,0.50,0.50,NaN,NaN,1.00,0.81,0.88,0.88,NaN,0.50,NaN,0.50
127-1,NaN,0.99,0.99,0.92,0.97,0.87,0.87,0.77,0.77,0.91,0.62,0.60,0.54
127-2,NaN,0.99,0.99,0.95,0.98,0.81,0.94,0.71,0.71,0.91,0.58,0.55,0.54
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,1.00,0.89,0.88,0.91,0.81,0.73,0.73,0.79,0.65,0.49,0.64
129-1,NaN,0.94,0.94,0.90,0.90,0.78,0.89,0.68,0.68,0.83,0.60,0.50,0.50
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.94,0.94,0.90,0.90,0.78,0.89,0.68,0.68,0.83,0.60,0.50,0.50
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.81,1.00,0.97,0.88,0.95,0.89,0.87,0.87,0.90,0.61,0.50,0.50
131-2,NaN,0.81,1.00,0.97,0.94,0.95,0.89,0.87,0.87,0.91,0.59,0.50,0.50
131-3,NaN,0.93,1.00,0.98,0.92,0.96,0.87,0.88,0.88,0.88,0.64,0.49,0.49
132-1,NaN,0.89,0.88,0.94,0.97,0.89,0.89,0.82,0.81,0.89,0.78,0.40,0.81
132-2,NaN,0.89,0.88,0.90,0.97,0.89,0.83,0.81,0.81,0.88,0.75,0.40,0.75
65-1,NaN,0.77,0.77,0.82,0.81,0.81,0.50,0.72,0.72,0.66,0.77,0.53,0.77
65-2,NaN,0.83,0.82,0.81,0.80,0.80,0.50,0.71,0.71,0.65,0.79,0.53,0.78
65-3,NaN,0.77,0.77,0.81,0.81,0.83,0.50,0.72,0.72,0.66,0.77,0.53,0.76
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.97,0.99,0.98,0.95,0.95,0.89,0.82,0.82,0.87,0.64,0.57,0.65
69-2,NaN,0.96,0.98,0.93,0.95,0.93,0.87,0.82,0.82,0.88,0.69,0.61,0.66
70-1,NaN,0.83,0.94,0.84,0.74,0.94,0.77,0.90,0.90,0.71,0.70,0.50,0.67
70-2,NaN,0.79,0.75,0.79,0.51,0.79,0.55,0.77,0.77,0.49,0.67,0.68,0.51
70-3,NaN,0.73,0.82,0.83,0.68,0.47,0.58,0.82,0.44,0.67,0.66,0.57,0.56
72-1,NaN,0.75,0.75,0.97,0.85,0.85,0.92,0.75,0.75,0.86,0.67,0.49,0.80
72-2,NaN,0.50,0.50,0.54,0.50,0.71,0.50,0.71,0.71,0.50,0.56,0.48,0.66
73-1,NaN,0.89,0.91,0.89,0.93,0.91,0.83,0.87,0.87,0.87,0.69,0.43,0.66
73-2,NaN,0.89,0.92,0.89,0.93,0.91,0.83,0.87,0.87,0.87,0.69,0.44,0.65
73-3,NaN,0.91,0.91,0.82,0.92,0.91,0.69,0.71,0.71,0.78,0.51,0.49,0.52
74-1,NaN,0.79,1.00,0.86,0.89,0.98,0.89,0.82,0.82,0.87,0.57,0.48,0.66
74-2,NaN,0.71,1.00,0.94,0.88,0.97,0.88,0.92,0.92,0.86,0.63,0.47,0.62
75-1,NaN,0.97,0.99,0.98,0.95,0.96,0.89,0.83,0.83,0.88,0.63,0.57,0.65
75-2,NaN,0.97,0.99,0.98,0.95,0.96,0.88,0.86,0.86,0.88,0.67,0.61,0.66
79-1,NaN,0.90,0.90,1.00,1.00,0.69,0.96,0.67,0.67,1.00,0.66,0.54,0.45
79-2,NaN,1.00,1.00,1.00,1.00,0.78,0.96,0.72,0.72,1.00,0.76,0.63,0.54
79-3,NaN,0.86,0.91,0.94,0.94,0.98,0.87,0.88,0.88,0.90,0.66,0.52,0.54
80-1,NaN,0.79,1.00,0.89,0.89,0.93,0.86,0.79,0.79,0.88,0.57,0.47,0.65
80-2,NaN,0.77,1.00,0.98,0.88,0.97,0.87,0.92,0.92,0.86,0.62,0.47,0.62
81-1,NaN,0.75,0.81,0.91,0.93,0.62,0.90,0.65,0.65,0.88,0.63,0.50,0.58
81-2,NaN,0.75,0.81,0.91,0.93,0.62,0.90,0.65,0.65,0.88,0.63,0.50,0.58
82-1,NaN,1.00,1.00,0.90,0.93,0.83,0.84,0.72,0.72,0.85,0.65,0.56,0.64
83-1,NaN,0.76,0.82,0.93,0.97,0.98,0.62,0.90,0.90,0.88,0.67,0.62,0.78
83-2,NaN,0.94,0.95,0.95,0.97,0.98,0.62,0.90,0.90,0.88,0.69,0.62,0.81
84-1,NaN,0.90,0.95,0.56,0.86,0.96,0.72,0.92,0.92,0.66,0.70,0.50,0.28
85-1,NaN,0.87,0.98,0.94,0.89,0.77,0.89,0.70,0.70,0.85,0.74,0.47,0.66
85-2,NaN,0.87,0.98,0.94,0.89,0.77,0.89,0.70,0.70,0.85,0.74,0.47,0.66
86-1,NaN,0.74,0.74,0.48,0.50,0.58,0.54,0.56,0.56,0.50,0.75,0.50,0.94
86-2,NaN,0.74,0.74,0.48,0.50,0.58,0.54,0.56,0.56,0.50,0.75,0.50,0.94
86-3,NaN,1.00,1.00,0.50,NaN,0.55,0.56,0.53,0.53,NaN,0.89,0.50,0.92
87-1,NaN,0.94,1.00,0.98,0.94,0.96,0.95,0.89,0.89,0.89,0.63,0.50,0.57
87-2,NaN,0.94,1.00,0.98,0.94,0.95,0.96,0.85,0.85,0.90,0.55,0.50,0.57
87-3,NaN,0.81,1.00,0.96,0.89,0.96,0.96,0.84,0.84,0.87,0.57,0.50,0.57
88-1,NaN,0.86,0.90,0.91,0.83,0.59,0.83,0.56,0.56,0.81,0.57,0.47,0.58
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.92,0.92,0.74,0.95,0.92,0.70,0.79,0.78,0.81,0.52,0.49,0.54
93-2,NaN,0.84,0.84,0.68,0.92,0.87,0.63,0.73,0.73,0.75,0.53,0.46,0.47
94-1,NaN,0.72,0.90,0.97,0.92,0.95,0.87,0.89,0.89,0.87,0.65,0.49,0.60
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.78,0.84,0.74,0.67,0.54,0.56,0.55,0.55,0.74,0.65,0.53,0.43
99-1,NaN,0.94,0.93,0.82,0.90,0.79,0.81,0.69,0.69,0.93,0.58,0.46,0.61
