ID-model,GO:0008150,GO:0050789,GO:0044707,GO:0050794,GO:0032501,GO:0044763,GO:0065007,GO:0050896,GO:0044699,GO:0009987,GO:0032502
BLAST-S11,NaN,0.76,0.70,0.70,0.70,0.53,0.65,0.49,0.54,0.52,0.53
BLAST-S14,NaN,0.65,0.61,0.60,0.58,0.58,0.55,0.53,0.53,0.47,0.42
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.70,0.55,0.62,0.58,0.60,0.69,0.62,0.60,0.51,0.56
101-2,NaN,0.58,0.49,0.62,0.54,0.57,0.58,0.60,0.54,0.59,0.37
101-3,NaN,0.81,0.44,0.57,0.44,0.53,0.76,0.73,0.41,0.42,0.50
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.48,NaN,0.42,0.61,0.83,0.48,0.56,0.79,0.81,0.22
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.68,0.60,0.62,0.57,0.48,0.59,0.44,0.41,0.35,0.38
105-2,NaN,0.57,0.55,0.56,0.57,0.56,0.48,0.57,0.47,0.54,0.36
105-3,NaN,0.67,0.56,0.67,0.55,0.49,0.60,0.55,0.41,0.44,0.39
106-1,NaN,0.45,0.75,0.45,0.80,0.66,0.34,0.42,0.75,0.44,0.59
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.12,0.75,0.12,0.80,0.70,0.00,0.40,0.80,0.55,0.50
107-1,NaN,0.52,0.58,0.50,0.60,0.47,0.46,0.44,0.48,0.41,0.56
107-2,NaN,0.53,0.58,0.60,0.58,0.57,0.48,0.46,0.44,0.62,0.56
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.60,0.63,0.59,0.61,0.73,0.54,0.56,0.58,0.71,0.45
110-2,NaN,0.49,0.70,0.47,0.75,0.62,0.40,0.62,0.55,0.49,0.67
110-3,NaN,0.47,0.32,0.43,0.30,0.33,0.40,0.58,0.37,0.35,0.46
111-1,NaN,0.58,0.65,0.61,0.61,0.65,0.51,0.58,0.53,0.67,0.45
111-2,NaN,0.56,0.46,0.44,0.38,0.38,0.42,0.53,0.45,0.33,0.51
111-3,NaN,0.70,0.85,NaN,0.38,0.80,0.50,0.25,0.54,0.80,0.40
112-1,NaN,0.45,0.68,0.47,0.71,0.55,0.37,0.65,0.49,0.53,0.58
112-2,NaN,0.45,0.68,0.48,0.71,0.55,0.36,0.65,0.49,0.53,0.57
112-3,NaN,0.53,0.70,0.62,0.72,0.52,0.52,0.56,0.47,0.63,0.59
113-1,NaN,0.53,0.70,0.63,0.71,0.53,0.51,0.57,0.47,0.64,0.58
113-2,NaN,0.50,0.50,0.38,0.50,0.33,0.36,0.20,0.54,0.38,0.75
113-3,NaN,0.60,0.64,0.67,0.56,0.66,0.57,0.62,0.46,0.75,0.42
114-1,NaN,0.65,0.66,0.63,0.61,0.59,0.57,0.55,0.57,0.44,0.41
115-1,NaN,0.51,0.57,0.53,0.55,0.51,0.45,0.42,0.41,0.38,0.53
116-1,NaN,0.46,0.50,0.51,0.49,0.61,0.46,0.45,0.41,0.43,0.44
116-2,NaN,0.60,0.38,0.62,0.36,0.52,0.60,0.39,0.29,0.56,0.44
117-1,NaN,0.69,0.64,0.63,0.64,0.66,0.66,0.39,0.65,0.59,0.64
117-2,NaN,0.57,0.60,0.41,0.57,0.70,0.56,0.74,0.60,0.53,0.48
119-1,NaN,0.70,0.58,0.74,0.55,0.70,0.61,0.62,0.74,0.61,0.47
120-1,NaN,0.65,0.64,0.63,0.60,0.59,0.56,0.57,0.56,0.44,0.40
120-2,NaN,0.44,0.70,0.43,0.66,0.52,0.44,0.58,0.61,0.56,0.60
120-3,NaN,0.59,0.47,0.52,0.47,0.52,0.54,0.53,0.50,0.46,0.55
121-1,NaN,0.56,NaN,0.58,0.61,0.81,0.56,0.50,0.71,0.67,0.28
121-2,NaN,0.67,NaN,0.67,1.00,1.00,0.67,0.50,1.00,0.83,NaN
121-3,NaN,0.60,0.20,0.63,0.75,0.48,0.60,0.43,0.43,0.29,0.17
122-1,NaN,0.60,0.52,0.54,0.47,0.48,0.51,0.49,0.46,0.47,0.35
124-1,NaN,0.37,0.52,0.34,0.52,0.51,0.42,0.73,0.64,0.61,0.54
124-2,NaN,0.44,0.58,0.41,0.60,0.55,0.41,0.62,0.56,0.55,0.54
124-3,NaN,0.37,0.41,0.33,0.43,0.47,0.42,0.62,0.66,0.62,0.52
125-1,NaN,0.65,0.66,0.63,0.61,0.59,0.57,0.55,0.57,0.45,0.41
125-2,NaN,0.65,0.72,0.58,0.69,0.48,0.54,0.55,0.53,0.36,0.46
125-3,NaN,0.62,0.61,0.54,0.58,0.56,0.54,0.64,0.56,0.46,0.38
126-1,NaN,0.44,0.57,0.47,0.57,0.51,0.39,0.50,0.59,0.52,0.37
127-1,NaN,0.78,0.57,0.71,0.58,0.76,0.67,0.69,0.73,0.59,0.50
127-2,NaN,0.77,0.53,0.72,0.53,0.64,0.64,0.65,0.60,0.52,0.47
127-3,NaN,NaN,NaN,NaN,1.00,0.62,NaN,0.38,0.75,0.33,NaN
128-1,NaN,0.65,0.85,0.73,0.89,0.72,0.59,0.40,0.79,0.58,0.75
129-1,NaN,0.74,0.69,0.87,0.73,0.70,0.68,0.37,0.63,0.76,0.58
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.74,0.69,0.87,0.73,0.70,0.68,0.37,0.63,0.76,0.58
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.56,0.65,0.52,0.63,0.52,0.51,0.54,0.48,0.42,0.41
131-2,NaN,0.55,0.59,0.56,0.58,0.59,0.51,0.55,0.54,0.56,0.35
131-3,NaN,0.50,0.74,0.48,0.75,0.64,0.41,0.48,0.63,0.53,0.46
132-1,NaN,0.50,0.74,0.51,0.76,0.60,0.41,0.61,0.49,0.60,0.60
132-2,NaN,0.59,0.76,0.63,0.78,0.60,0.57,0.53,0.46,0.73,0.61
65-1,NaN,0.75,0.61,0.83,0.61,0.76,0.74,0.43,0.74,0.67,0.65
65-2,NaN,0.75,0.61,0.83,0.61,0.77,0.74,0.43,0.75,0.66,0.65
65-3,NaN,0.73,0.63,0.83,0.62,0.78,0.74,0.43,0.76,0.66,0.66
68-1,NaN,0.65,0.59,0.57,0.62,0.51,0.61,0.42,0.60,0.42,0.54
68-2,NaN,0.68,0.55,0.70,0.59,0.51,0.63,0.49,0.58,0.38,0.50
69-1,NaN,0.55,0.60,0.53,0.59,0.55,0.48,0.44,0.53,0.49,0.55
69-2,NaN,0.52,0.67,0.49,0.68,0.62,0.45,0.51,0.59,0.50,0.65
70-1,NaN,0.73,0.63,0.69,0.67,0.47,0.68,0.49,0.50,0.51,0.60
70-2,NaN,0.71,0.66,0.57,0.64,0.73,0.67,0.42,0.81,0.60,0.64
70-3,NaN,0.83,0.58,0.74,0.59,0.42,0.77,0.62,0.61,0.54,0.47
72-1,NaN,0.59,0.63,0.49,0.56,0.49,0.49,0.66,0.60,0.48,0.40
72-2,NaN,0.64,0.51,0.52,0.49,0.53,0.62,0.57,0.50,0.62,0.49
73-1,NaN,0.68,0.63,0.74,0.60,0.42,0.62,0.39,0.53,0.44,0.58
73-2,NaN,0.66,0.63,0.73,0.61,0.42,0.61,0.38,0.53,0.45,0.59
73-3,NaN,0.56,0.57,0.57,0.58,0.58,0.50,0.52,0.54,0.50,0.60
74-1,NaN,0.46,0.57,0.54,0.57,0.41,0.38,0.56,0.47,0.19,0.54
74-2,NaN,0.67,0.69,0.68,0.70,0.44,0.59,0.44,0.51,0.38,0.66
75-1,NaN,0.53,0.58,0.55,0.54,0.52,0.45,0.41,0.42,0.49,0.51
75-2,NaN,0.55,0.61,0.52,0.61,0.64,0.46,0.46,0.52,0.50,0.55
79-1,NaN,0.83,0.52,0.76,0.51,0.59,0.80,0.50,0.49,0.68,0.51
79-2,NaN,0.79,0.40,0.67,0.39,0.63,0.75,0.41,0.58,0.67,0.38
79-3,NaN,0.62,0.72,0.55,0.69,0.62,0.57,0.38,0.57,0.51,0.59
80-1,NaN,0.51,0.62,0.62,0.55,0.47,0.46,0.49,0.43,0.32,0.55
80-2,NaN,0.63,0.64,0.64,0.61,0.39,0.55,0.51,0.47,0.33,0.51
81-1,NaN,0.63,0.60,0.63,0.52,0.60,0.63,0.49,0.60,0.52,0.42
81-2,NaN,0.63,0.60,0.63,0.52,0.60,0.63,0.49,0.60,0.52,0.42
82-1,NaN,0.56,0.57,0.54,0.53,0.71,0.51,0.62,0.64,0.54,0.48
83-1,NaN,0.53,0.53,0.62,0.57,0.63,0.53,0.65,0.65,0.50,0.50
83-2,NaN,0.53,0.53,0.62,0.57,0.63,0.53,0.68,0.65,0.50,0.50
84-1,NaN,0.46,0.79,0.50,0.79,0.50,0.41,0.41,0.67,0.45,0.62
85-1,NaN,0.74,0.59,0.67,0.56,0.68,0.67,0.54,0.60,0.51,0.45
85-2,NaN,0.74,0.59,0.67,0.56,0.68,0.67,0.54,0.60,0.51,0.45
86-1,NaN,0.56,0.53,0.58,0.46,0.63,0.51,0.48,0.55,0.54,0.39
86-2,NaN,0.56,0.53,0.58,0.46,0.63,0.51,0.48,0.55,0.54,0.39
86-3,NaN,0.59,0.56,0.64,0.54,0.69,0.51,0.51,0.57,0.70,0.32
87-1,NaN,0.58,0.58,0.49,0.52,0.59,0.50,0.53,0.54,0.47,0.45
87-2,NaN,0.58,0.56,0.54,0.51,0.59,0.52,0.54,0.52,0.42,0.44
87-3,NaN,0.61,0.49,0.63,0.43,0.61,0.46,0.55,0.61,0.55,0.36
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.52,0.60,0.50,0.55,0.60,0.43,0.52,0.69,0.47,0.48
95-1,NaN,0.69,0.62,0.55,0.66,0.53,0.65,0.47,0.59,0.43,0.59
95-2,NaN,0.66,0.55,0.66,0.58,0.56,0.61,0.53,0.61,0.41,0.54
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.37,0.36,0.38,0.38,0.50,0.36,0.55,0.39,0.62,0.47
