ID-model,GO:0008150,GO:0009987
BLAST-S11,NaN,0.44
BLAST-S14,NaN,0.32
Naive-S11,NaN,0.50
Naive-S14,NaN,0.50
101-1,NaN,0.57
101-2,NaN,0.72
101-3,NaN,0.53
102-1,NaN,NaN
102-2,NaN,NaN
102-3,NaN,NaN
103-1,NaN,NaN
103-2,NaN,NaN
103-3,NaN,NaN
104-1,NaN,NaN
104-2,NaN,NaN
104-3,NaN,NaN
105-1,NaN,0.47
105-2,NaN,0.58
105-3,NaN,0.50
106-1,NaN,0.50
106-2,NaN,NaN
106-3,NaN,1.00
107-1,NaN,0.47
107-2,NaN,0.56
107-3,NaN,NaN
108-1,NaN,NaN
109-1,NaN,NaN
110-1,NaN,0.65
110-2,NaN,0.52
110-3,NaN,0.47
111-1,NaN,0.65
111-2,NaN,0.52
111-3,NaN,0.00
112-1,NaN,0.54
112-2,NaN,0.56
112-3,NaN,0.62
113-1,NaN,0.62
113-2,NaN,0.53
113-3,NaN,0.53
114-1,NaN,0.35
115-1,NaN,0.37
116-1,NaN,0.64
116-2,NaN,0.62
117-1,NaN,0.63
117-2,NaN,0.50
119-1,NaN,0.57
120-1,NaN,0.35
120-2,NaN,0.43
120-3,NaN,0.41
121-1,NaN,NaN
121-2,NaN,NaN
121-3,NaN,NaN
122-1,NaN,0.78
124-1,NaN,0.47
124-2,NaN,0.28
124-3,NaN,0.47
125-1,NaN,0.35
125-2,NaN,0.72
125-3,NaN,0.41
126-1,NaN,1.00
127-1,NaN,0.29
127-2,NaN,0.23
127-3,NaN,NaN
128-1,NaN,0.14
129-1,NaN,0.37
129-2,NaN,NaN
129-3,NaN,0.37
130-1,NaN,NaN
130-2,NaN,NaN
130-3,NaN,NaN
131-1,NaN,0.46
131-2,NaN,0.77
131-3,NaN,0.72
132-1,NaN,0.63
132-2,NaN,0.73
65-1,NaN,0.37
65-2,NaN,0.37
65-3,NaN,0.37
68-1,NaN,0.43
68-2,NaN,0.39
69-1,NaN,0.54
69-2,NaN,0.57
70-1,NaN,0.39
70-2,NaN,0.41
70-3,NaN,0.38
72-1,NaN,0.58
72-2,NaN,0.65
73-1,NaN,0.50
73-2,NaN,0.50
73-3,NaN,0.58
74-1,NaN,0.83
74-2,NaN,0.32
75-1,NaN,0.54
75-2,NaN,0.55
79-1,NaN,0.60
79-2,NaN,0.63
79-3,NaN,0.62
80-1,NaN,0.67
80-2,NaN,0.31
81-1,NaN,0.66
81-2,NaN,0.66
82-1,NaN,0.72
83-1,NaN,0.50
83-2,NaN,0.50
84-1,NaN,0.64
85-1,NaN,0.46
85-2,NaN,0.46
86-1,NaN,0.45
86-2,NaN,0.45
86-3,NaN,0.39
87-1,NaN,0.67
87-2,NaN,0.54
87-3,NaN,0.65
88-1,NaN,NaN
89-1,NaN,NaN
89-2,NaN,NaN
89-3,NaN,NaN
91-1,NaN,NaN
91-2,NaN,NaN
91-3,NaN,NaN
93-1,NaN,NaN
93-2,NaN,NaN
94-1,NaN,0.40
95-1,NaN,0.33
95-2,NaN,0.35
96-1,NaN,NaN
96-2,NaN,NaN
96-3,NaN,NaN
97-1,NaN,NaN
97-2,NaN,NaN
97-3,NaN,NaN
98-1,NaN,0.65
99-1,NaN,0.68
