ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.93,0.207,0.38,0.93,0.229,0.052,0.34
BLAST-S14,1.00,0.184,0.38,1.00,0.202,0.046,0.37
Naive-S11,1.00,0.249,0.32,1.00,0.256,0.052,0.36
Naive-S14,1.00,0.245,0.48,1.00,0.251,0.045,0.40
101-1,0.82,0.273,0.37,0.82,0.287,0.050,0.37
101-2,0.18,0.134,0.10,0.18,0.127,0.064,0.20
101-3,0.82,0.299,1.00,0.82,0.310,0.065,0.73
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.46,0.224,0.17,0.46,0.216,0.070,0.18
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.256,0.86,1.00,0.277,0.057,0.84
105-2,1.00,0.295,0.98,1.00,0.306,0.060,0.99
105-3,1.00,0.273,0.99,1.00,0.272,0.059,0.99
106-1,0.39,0.174,0.18,0.39,0.173,0.043,0.29
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.14,0.074,0.18,0.14,0.070,0.046,0.24
107-1,1.00,0.262,0.75,1.00,0.263,0.063,0.76
107-2,1.00,0.249,0.04,1.00,0.266,0.052,0.09
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.89,0.241,0.67,0.89,0.241,0.061,0.60
110-2,0.93,0.293,1.00,0.93,0.309,0.067,0.66
110-3,0.93,0.296,0.44,0.93,0.299,0.050,0.36
111-1,0.89,0.245,0.67,0.89,0.246,0.060,0.58
111-2,0.93,0.295,0.48,0.93,0.298,0.049,0.36
111-3,0.07,0.078,0.21,0.07,0.073,0.052,0.37
112-1,0.96,0.293,0.80,0.96,0.309,0.065,0.54
112-2,0.96,0.290,0.71,0.96,0.309,0.066,0.54
112-3,0.96,0.284,0.80,0.96,0.306,0.065,0.52
113-1,0.96,0.284,0.71,0.96,0.306,0.065,0.52
113-2,0.50,0.149,1.00,0.50,0.145,0.044,0.88
113-3,0.89,0.231,0.57,0.89,0.241,0.054,0.53
114-1,1.00,0.307,0.89,1.00,0.321,0.060,0.89
115-1,1.00,0.280,0.78,1.00,0.296,0.059,0.58
116-1,0.79,0.263,0.34,0.79,0.259,0.066,0.41
116-2,0.64,0.333,0.34,0.64,0.329,0.078,0.46
117-1,1.00,0.354,0.15,1.00,0.357,0.063,0.15
117-2,0.29,0.310,1.00,0.29,0.296,0.074,1.00
119-1,0.82,0.241,0.84,0.82,0.247,0.047,0.80
120-1,1.00,0.321,0.92,1.00,0.333,0.063,0.92
120-2,1.00,0.327,0.68,1.00,0.346,0.050,0.66
120-3,1.00,0.256,0.44,1.00,0.263,0.054,0.50
121-1,0.68,0.266,0.52,0.68,0.262,0.074,0.53
121-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
121-3,0.79,0.275,0.25,0.79,0.298,0.070,0.24
122-1,0.57,0.207,0.79,0.57,0.203,0.053,0.83
124-1,0.93,0.203,0.40,0.93,0.208,0.041,0.37
124-2,0.93,0.195,0.23,0.93,0.198,0.042,0.19
124-3,0.93,0.242,0.40,0.93,0.238,0.060,0.38
125-1,1.00,0.309,0.83,1.00,0.322,0.059,0.87
125-2,0.96,0.245,0.26,0.96,0.282,0.063,0.41
125-3,1.00,0.189,0.43,1.00,0.203,0.052,0.46
126-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
127-1,0.93,0.297,0.67,0.93,0.310,0.056,0.64
127-2,0.93,0.380,0.89,0.93,0.382,0.066,0.84
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.61,0.191,0.04,0.61,0.206,0.048,0.09
129-1,1.00,0.335,0.69,1.00,0.343,0.062,0.68
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,1.00,0.335,0.69,1.00,0.343,0.062,0.68
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.68,0.290,0.75,0.68,0.283,0.073,0.84
131-2,0.75,0.324,0.25,0.75,0.324,0.077,0.55
131-3,0.93,0.345,0.31,0.93,0.349,0.078,0.44
132-1,0.93,0.285,0.74,0.93,0.300,0.062,0.69
132-2,0.93,0.286,0.65,0.93,0.301,0.061,0.69
65-1,0.54,0.164,0.28,0.54,0.179,0.042,0.19
65-2,0.50,0.169,0.26,0.50,0.181,0.044,0.18
65-3,0.54,0.204,0.13,0.54,0.223,0.041,0.12
68-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
68-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-1,1.00,0.321,0.67,1.00,0.319,0.057,0.75
69-2,1.00,0.318,1.00,1.00,0.320,0.059,0.96
70-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
70-2,1.00,0.268,0.36,1.00,0.271,0.056,0.36
70-3,1.00,0.273,0.42,1.00,0.278,0.059,0.40
72-1,0.96,0.283,0.01,0.96,0.280,0.064,0.01
72-2,0.96,0.283,0.01,0.96,0.280,0.064,0.01
73-1,1.00,0.197,1.00,1.00,0.217,0.045,0.87
73-2,1.00,0.197,1.00,1.00,0.216,0.045,0.87
73-3,1.00,0.236,1.00,1.00,0.236,0.053,0.94
74-1,0.50,0.264,0.28,0.50,0.258,0.075,0.29
74-2,1.00,0.340,0.25,1.00,0.347,0.063,0.31
75-1,1.00,0.321,0.79,1.00,0.325,0.058,0.78
75-2,1.00,0.318,1.00,1.00,0.322,0.059,0.93
79-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
79-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
79-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
80-1,0.61,0.191,0.34,0.61,0.192,0.057,0.43
80-2,1.00,0.314,0.30,1.00,0.328,0.065,0.44
81-1,1.00,0.212,0.54,1.00,0.226,0.050,0.56
81-2,1.00,0.212,0.54,1.00,0.226,0.050,0.56
82-1,0.89,0.234,0.56,0.89,0.245,0.057,0.55
83-1,0.96,0.333,0.13,0.96,0.343,0.053,0.16
83-2,0.96,0.336,0.13,0.96,0.345,0.054,0.15
84-1,0.93,0.199,0.03,0.93,0.220,0.040,0.05
85-1,0.96,0.348,0.59,0.96,0.366,0.064,0.60
85-2,0.96,0.348,0.59,0.96,0.366,0.064,0.60
86-1,1.00,0.308,0.67,1.00,0.316,0.065,0.71
86-2,1.00,0.308,0.67,1.00,0.316,0.065,0.71
86-3,0.93,0.292,0.50,0.93,0.296,0.063,0.47
87-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
87-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
87-3,0.75,0.315,0.39,0.75,0.307,0.065,0.40
88-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
