ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622
BLAST-S11,NaN,0.79,0.79,0.71
BLAST-S14,NaN,0.84,0.84,0.71
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.49,0.49,0.55
101-2,NaN,0.30,0.30,0.51
101-3,NaN,0.75,0.75,0.87
102-1,NaN,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50
103-3,NaN,0.66,0.66,0.57
104-1,NaN,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50
105-1,NaN,0.26,0.26,0.65
105-2,NaN,0.62,0.62,0.70
105-3,NaN,0.47,0.47,0.59
106-1,NaN,0.79,0.79,0.70
106-2,NaN,0.50,0.50,0.50
106-3,NaN,0.79,0.79,0.70
107-1,NaN,0.61,0.61,0.51
107-2,NaN,0.83,0.83,0.90
107-3,NaN,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50
110-1,NaN,0.89,0.89,0.55
110-2,NaN,0.87,0.87,0.76
110-3,NaN,0.46,0.46,0.64
111-1,NaN,0.89,0.89,0.54
111-2,NaN,0.57,0.57,0.56
111-3,NaN,0.66,0.66,0.53
112-1,NaN,0.84,0.84,0.70
112-2,NaN,0.84,0.84,0.70
112-3,NaN,0.84,0.84,0.66
113-1,NaN,0.84,0.84,0.65
113-2,NaN,0.46,0.46,0.67
113-3,NaN,0.84,0.84,0.45
114-1,NaN,0.74,0.74,0.75
115-1,NaN,0.76,0.76,0.91
116-1,NaN,0.58,0.58,0.65
116-2,NaN,0.58,0.58,0.65
117-1,NaN,0.74,0.74,0.88
117-2,NaN,0.71,0.71,0.60
119-1,NaN,0.51,0.51,0.46
120-1,NaN,0.74,0.74,0.75
120-2,NaN,0.57,0.57,0.75
120-3,NaN,0.50,0.50,0.94
121-1,NaN,0.66,0.66,0.57
121-2,NaN,0.58,0.58,0.51
121-3,NaN,0.66,0.66,0.56
122-1,NaN,0.67,0.67,0.73
124-1,NaN,0.33,0.33,0.32
124-2,NaN,0.30,0.30,0.34
124-3,NaN,0.28,0.28,0.28
125-1,NaN,0.74,0.74,0.75
125-2,NaN,0.57,0.57,0.61
125-3,NaN,0.95,0.95,0.80
126-1,NaN,0.50,0.50,0.50
127-1,NaN,0.49,0.49,0.81
127-2,NaN,0.59,0.59,0.79
127-3,NaN,0.50,0.50,0.50
128-1,NaN,0.38,0.38,0.48
129-1,NaN,0.88,0.88,0.76
129-2,NaN,0.50,0.50,0.50
129-3,NaN,0.88,0.88,0.76
130-1,NaN,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50
131-1,NaN,0.59,0.59,0.70
131-2,NaN,0.68,0.68,0.71
131-3,NaN,0.59,0.59,0.85
132-1,NaN,0.89,0.89,0.75
132-2,NaN,0.87,0.87,0.73
65-1,NaN,0.74,0.74,0.63
65-2,NaN,0.72,0.72,0.60
65-3,NaN,0.74,0.74,0.61
68-1,NaN,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50
69-1,NaN,0.76,0.76,0.88
69-2,NaN,0.64,0.64,0.85
70-1,NaN,0.50,0.50,0.50
70-2,NaN,0.89,0.89,0.85
70-3,NaN,0.86,0.86,0.66
72-1,NaN,0.82,0.82,0.65
72-2,NaN,0.59,0.59,0.62
73-1,NaN,0.57,0.57,0.66
73-2,NaN,0.57,0.57,0.66
73-3,NaN,0.50,0.50,0.50
74-1,NaN,0.50,0.50,0.73
74-2,NaN,0.42,0.42,0.94
75-1,NaN,0.91,0.91,0.90
75-2,NaN,0.83,0.83,0.88
79-1,NaN,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50
80-1,NaN,0.58,0.58,0.67
80-2,NaN,0.42,0.42,0.94
81-1,NaN,0.67,0.67,0.61
81-2,NaN,0.64,0.64,0.61
82-1,NaN,0.67,0.67,0.43
83-1,NaN,0.50,0.50,0.50
83-2,NaN,0.50,0.50,0.50
84-1,NaN,0.29,0.29,0.62
85-1,NaN,0.78,0.78,0.74
85-2,NaN,0.78,0.78,0.74
86-1,NaN,0.68,0.68,0.65
86-2,NaN,0.68,0.68,0.65
86-3,NaN,0.83,0.83,0.76
87-1,NaN,0.37,0.37,0.52
87-2,NaN,0.34,0.34,0.57
87-3,NaN,0.43,0.43,0.70
88-1,NaN,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50
94-1,NaN,0.71,0.71,0.86
95-1,NaN,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.87
97-2,NaN,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50
98-1,NaN,0.32,0.32,0.73
99-1,NaN,0.68,0.66,0.90
