ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.181,0.40,0.95,0.195,0.026,0.37
BLAST-S14,0.97,0.238,0.42,0.97,0.246,0.028,0.39
Naive-S11,1.00,0.208,0.31,1.00,0.207,0.014,0.31
Naive-S14,1.00,0.208,0.33,1.00,0.208,0.013,0.30
101-1,0.82,0.360,0.36,0.82,0.361,0.031,0.35
101-2,0.81,0.405,0.24,0.81,0.410,0.027,0.22
101-3,0.82,0.420,0.60,0.82,0.420,0.032,0.70
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.67,0.433,0.20,0.67,0.434,0.038,0.20
103-2,0.81,0.442,0.20,0.81,0.443,0.035,0.22
103-3,0.75,0.465,0.17,0.75,0.464,0.038,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.342,0.81,1.00,0.352,0.027,0.82
105-2,0.89,0.393,1.00,0.89,0.400,0.032,0.99
105-3,0.93,0.374,1.00,0.93,0.377,0.030,1.00
106-1,0.62,0.498,0.07,0.62,0.498,0.040,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.40,0.474,0.07,0.40,0.474,0.048,0.10
107-1,0.99,0.356,0.78,0.99,0.359,0.028,0.76
107-2,0.99,0.319,0.04,0.99,0.323,0.029,0.04
107-3,0.97,0.311,0.04,0.97,0.318,0.031,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.309,0.84,0.95,0.314,0.028,0.76
110-2,0.95,0.336,0.37,0.95,0.343,0.028,0.37
110-3,1.00,0.180,0.84,1.00,0.182,0.018,0.77
111-1,0.95,0.309,0.84,0.95,0.314,0.028,0.76
111-2,1.00,0.180,0.84,1.00,0.182,0.018,0.77
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.352,0.42,1.00,0.355,0.028,0.45
112-2,1.00,0.350,0.49,1.00,0.355,0.028,0.45
112-3,1.00,0.348,0.42,1.00,0.350,0.028,0.44
113-1,1.00,0.343,0.40,1.00,0.348,0.028,0.44
113-2,0.96,0.165,0.56,0.96,0.168,0.018,0.65
113-3,0.80,0.307,0.84,0.80,0.310,0.030,0.84
114-1,1.00,0.441,0.99,1.00,0.442,0.033,0.96
115-1,1.00,0.401,0.27,1.00,0.407,0.031,0.41
116-1,0.85,0.405,0.04,0.85,0.407,0.035,0.27
116-2,0.48,0.371,0.70,0.48,0.369,0.048,0.58
117-1,1.00,0.417,0.09,1.00,0.417,0.028,0.09
117-2,0.23,0.446,1.00,0.23,0.444,0.070,1.00
119-1,0.98,0.368,0.66,0.98,0.374,0.027,0.61
120-1,1.00,0.437,0.99,1.00,0.437,0.033,0.99
120-2,1.00,0.223,0.51,1.00,0.230,0.017,0.55
120-3,0.99,0.212,0.51,0.99,0.212,0.016,0.51
121-1,0.72,0.470,0.60,0.72,0.469,0.036,0.60
121-2,0.05,0.492,0.61,0.05,0.481,0.090,0.62
121-3,0.81,0.450,0.01,0.81,0.459,0.035,0.24
122-1,0.65,0.452,0.69,0.65,0.454,0.042,0.73
124-1,1.00,0.233,0.16,1.00,0.237,0.018,0.20
124-2,1.00,0.195,0.11,1.00,0.199,0.017,0.15
124-3,1.00,0.233,0.16,1.00,0.237,0.018,0.19
125-1,1.00,0.441,0.99,1.00,0.443,0.033,0.96
125-2,0.90,0.401,0.17,0.90,0.404,0.030,0.17
125-3,0.92,0.305,0.18,0.92,0.307,0.030,0.17
126-1,0.47,0.415,0.23,0.47,0.415,0.046,0.23
127-1,0.87,0.395,0.36,0.87,0.402,0.029,0.36
127-2,0.87,0.373,0.48,0.87,0.376,0.028,0.48
127-3,0.14,0.216,0.42,0.14,0.240,0.041,0.44
128-1,0.71,0.281,0.13,0.71,0.283,0.034,0.12
129-1,0.94,0.317,0.54,0.94,0.324,0.025,0.55
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.94,0.317,0.54,0.94,0.324,0.025,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.68,0.456,0.06,0.68,0.457,0.043,0.13
131-2,0.68,0.472,0.09,0.68,0.474,0.043,0.14
131-3,0.84,0.434,0.11,0.84,0.444,0.036,0.11
132-1,1.00,0.340,0.60,1.00,0.341,0.027,0.58
132-2,1.00,0.323,0.60,1.00,0.326,0.026,0.57
65-1,0.90,0.293,0.23,0.90,0.308,0.024,0.15
65-2,0.78,0.310,0.23,0.78,0.317,0.026,0.22
65-3,0.90,0.293,0.25,0.90,0.300,0.023,0.22
68-1,1.00,0.278,0.95,1.00,0.297,0.027,0.87
68-2,1.00,0.300,1.00,1.00,0.308,0.028,0.92
69-1,1.00,0.362,0.36,1.00,0.368,0.030,0.52
69-2,1.00,0.376,0.36,1.00,0.381,0.032,0.34
70-1,1.00,0.279,0.34,1.00,0.284,0.023,0.30
70-2,0.95,0.178,0.12,0.95,0.180,0.010,0.12
70-3,0.95,0.154,0.06,0.95,0.154,0.008,0.07
72-1,0.94,0.412,0.01,0.94,0.411,0.032,0.01
72-2,0.86,0.265,0.01,0.86,0.264,0.033,0.01
73-1,1.00,0.327,0.99,1.00,0.329,0.029,0.96
73-2,1.00,0.332,0.99,1.00,0.333,0.029,0.96
73-3,0.92,0.379,0.97,0.92,0.377,0.030,0.97
74-1,0.73,0.413,0.31,0.73,0.417,0.037,0.27
74-2,0.96,0.378,0.20,0.96,0.382,0.032,0.23
75-1,1.00,0.397,0.67,1.00,0.396,0.032,0.67
75-2,1.00,0.392,0.66,1.00,0.393,0.031,0.65
79-1,0.77,0.388,0.17,0.77,0.394,0.031,0.22
79-2,0.43,0.495,0.31,0.43,0.504,0.043,0.29
79-3,0.96,0.406,0.26,0.96,0.411,0.030,0.17
80-1,0.77,0.432,0.44,0.77,0.433,0.035,0.41
80-2,0.96,0.423,0.70,0.96,0.422,0.033,0.66
81-1,0.76,0.427,0.76,0.76,0.433,0.035,0.67
81-2,0.76,0.427,0.76,0.76,0.433,0.035,0.68
82-1,0.74,0.327,0.50,0.74,0.329,0.029,0.52
83-1,1.00,0.369,0.33,1.00,0.373,0.025,0.35
83-2,1.00,0.421,0.24,1.00,0.421,0.029,0.26
84-1,0.89,0.315,0.21,0.89,0.317,0.026,0.22
85-1,0.82,0.389,0.34,0.82,0.394,0.033,0.33
85-2,0.82,0.389,0.34,0.82,0.394,0.033,0.33
86-1,1.00,0.226,0.71,1.00,0.227,0.021,0.70
86-2,1.00,0.226,0.71,1.00,0.227,0.021,0.70
86-3,0.79,0.198,0.37,0.79,0.204,0.032,0.40
87-1,0.84,0.445,0.21,0.84,0.445,0.033,0.24
87-2,0.84,0.445,0.22,0.84,0.452,0.033,0.18
87-3,0.83,0.438,0.21,0.83,0.439,0.033,0.28
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.83,0.217,1.00,0.83,0.216,0.030,1.00
93-2,0.94,0.098,1.00,0.94,0.097,0.011,1.00
94-1,0.99,0.437,1.00,0.99,0.438,0.034,0.86
95-1,1.00,0.271,0.95,1.00,0.283,0.029,0.93
95-2,1.00,0.299,1.00,1.00,0.303,0.030,0.96
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.46,0.347,0.53,0.46,0.353,0.051,0.53
99-1,0.82,0.289,0.26,0.82,0.296,0.032,0.22
