ID-model,GO:0008150,GO:0008152
BLAST-S11,NaN,0.49
BLAST-S14,NaN,0.62
Naive-S11,NaN,0.50
Naive-S14,NaN,0.50
101-1,NaN,0.93
101-2,NaN,0.55
101-3,NaN,0.53
102-1,NaN,0.50
102-2,NaN,0.50
102-3,NaN,0.50
103-1,NaN,0.54
103-2,NaN,0.54
103-3,NaN,0.55
104-1,NaN,0.50
104-2,NaN,0.50
104-3,NaN,0.50
105-1,NaN,0.69
105-2,NaN,0.60
105-3,NaN,0.60
106-1,NaN,0.50
106-2,NaN,0.50
106-3,NaN,0.50
107-1,NaN,0.53
107-2,NaN,0.65
107-3,NaN,0.64
108-1,NaN,0.50
109-1,NaN,0.50
110-1,NaN,0.48
110-2,NaN,0.55
110-3,NaN,0.69
111-1,NaN,0.48
111-2,NaN,0.69
111-3,NaN,0.50
112-1,NaN,0.60
112-2,NaN,0.59
112-3,NaN,0.60
113-1,NaN,0.59
113-2,NaN,0.69
113-3,NaN,0.48
114-1,NaN,0.56
115-1,NaN,0.67
116-1,NaN,0.61
116-2,NaN,0.61
117-1,NaN,0.67
117-2,NaN,0.55
119-1,NaN,0.66
120-1,NaN,0.56
120-2,NaN,0.41
120-3,NaN,0.39
121-1,NaN,0.55
121-2,NaN,0.50
121-3,NaN,0.46
122-1,NaN,0.65
124-1,NaN,0.61
124-2,NaN,0.51
124-3,NaN,0.52
125-1,NaN,0.56
125-2,NaN,0.56
125-3,NaN,0.55
126-1,NaN,0.55
127-1,NaN,0.87
127-2,NaN,0.82
127-3,NaN,0.50
128-1,NaN,0.75
129-1,NaN,0.77
129-2,NaN,0.50
129-3,NaN,0.77
130-1,NaN,0.50
130-2,NaN,0.50
130-3,NaN,0.50
131-1,NaN,0.65
131-2,NaN,0.65
131-3,NaN,0.60
132-1,NaN,0.63
132-2,NaN,0.63
65-1,NaN,0.35
65-2,NaN,0.31
65-3,NaN,0.32
68-1,NaN,0.44
68-2,NaN,0.49
69-1,NaN,0.56
69-2,NaN,0.56
70-1,NaN,0.34
70-2,NaN,0.59
70-3,NaN,0.46
72-1,NaN,0.59
72-2,NaN,0.60
73-1,NaN,0.42
73-2,NaN,0.42
73-3,NaN,0.60
74-1,NaN,0.66
74-2,NaN,0.56
75-1,NaN,0.56
75-2,NaN,0.56
79-1,NaN,0.61
79-2,NaN,0.61
79-3,NaN,0.64
80-1,NaN,0.66
80-2,NaN,0.56
81-1,NaN,0.44
81-2,NaN,0.48
82-1,NaN,0.62
83-1,NaN,0.60
83-2,NaN,0.60
84-1,NaN,0.62
85-1,NaN,0.78
85-2,NaN,0.78
86-1,NaN,0.61
86-2,NaN,0.61
86-3,NaN,0.50
87-1,NaN,0.46
87-2,NaN,0.72
87-3,NaN,0.49
88-1,NaN,0.50
89-1,NaN,0.50
89-2,NaN,0.50
89-3,NaN,0.50
91-1,NaN,0.50
91-2,NaN,0.50
91-3,NaN,0.50
93-1,NaN,0.60
93-2,NaN,0.60
94-1,NaN,0.60
95-1,NaN,0.53
95-2,NaN,0.61
96-1,NaN,0.50
96-2,NaN,0.50
96-3,NaN,0.50
97-1,NaN,0.50
97-2,NaN,0.50
97-3,NaN,0.50
98-1,NaN,0.63
99-1,NaN,0.58
