ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.406,0.37,1.00,0.412,0.033,0.40
BLAST-S14,0.85,0.310,0.24,0.85,0.339,0.034,0.33
Naive-S11,1.00,0.446,0.11,1.00,0.445,0.026,0.11
Naive-S14,1.00,0.450,0.13,1.00,0.451,0.025,0.14
101-1,0.88,0.484,0.12,0.88,0.483,0.034,0.18
101-2,0.60,0.523,0.10,0.60,0.521,0.046,0.10
101-3,0.88,0.497,0.05,0.88,0.497,0.035,0.05
102-1,0.99,0.493,0.36,0.99,0.499,0.029,0.37
102-2,0.82,0.532,0.40,0.82,0.539,0.028,0.45
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.43,0.549,0.17,0.43,0.548,0.062,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.376,0.75,0.99,0.381,0.037,0.77
105-2,0.87,0.425,0.99,0.87,0.433,0.041,0.98
105-3,0.93,0.393,0.99,0.92,0.397,0.040,0.99
106-1,0.54,0.394,0.11,0.54,0.394,0.052,0.18
106-2,0.28,0.189,0.85,0.28,0.190,0.056,0.86
106-3,0.12,0.303,0.21,0.12,0.306,0.082,0.23
107-1,1.00,0.405,0.79,1.00,0.410,0.039,0.77
107-2,1.00,0.347,0.03,1.00,0.352,0.036,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.88,0.458,0.81,0.88,0.472,0.034,0.65
110-2,0.85,0.484,0.29,0.85,0.488,0.034,0.33
110-3,1.00,0.222,1.00,1.00,0.244,0.029,0.59
111-1,0.91,0.442,0.28,0.91,0.454,0.034,0.49
111-2,0.99,0.249,0.64,0.99,0.254,0.032,0.69
111-3,0.06,0.200,0.84,0.06,0.201,0.200,0.54
112-1,1.00,0.496,0.49,1.00,0.497,0.035,0.48
112-2,1.00,0.497,0.44,1.00,0.499,0.035,0.45
112-3,1.00,0.428,0.38,1.00,0.432,0.036,0.41
113-1,1.00,0.422,0.34,1.00,0.431,0.035,0.37
113-2,0.93,0.152,0.64,0.93,0.159,0.025,0.50
113-3,0.88,0.374,0.22,0.88,0.391,0.035,0.41
114-1,1.00,0.509,0.75,1.00,0.520,0.036,0.64
115-1,1.00,0.458,0.28,1.00,0.461,0.030,0.31
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.40,0.454,0.49,0.40,0.458,0.068,0.54
117-1,1.00,0.513,0.11,1.00,0.516,0.030,0.11
117-2,0.21,0.381,1.00,0.21,0.373,0.091,1.00
119-1,0.93,0.456,0.78,0.93,0.460,0.040,0.74
120-1,1.00,0.520,0.92,1.00,0.527,0.036,0.91
120-2,1.00,0.342,0.56,1.00,0.347,0.029,0.53
120-3,0.76,0.384,0.53,0.76,0.387,0.040,0.53
121-1,0.30,0.472,0.60,0.30,0.470,0.082,0.58
121-2,0.07,0.584,0.85,0.07,0.574,0.161,0.85
121-3,0.67,0.585,0.01,0.67,0.584,0.036,0.01
122-1,0.57,0.519,0.74,0.57,0.517,0.045,0.76
124-1,1.00,0.348,0.17,1.00,0.350,0.026,0.19
124-2,1.00,0.385,0.18,1.00,0.384,0.029,0.18
124-3,1.00,0.336,0.17,1.00,0.337,0.027,0.19
125-1,0.85,0.554,0.80,0.85,0.561,0.038,0.79
125-2,0.78,0.468,0.21,0.78,0.482,0.038,0.27
125-3,0.94,0.501,0.59,0.94,0.508,0.034,0.54
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.73,0.563,0.32,0.73,0.568,0.038,0.34
127-2,0.73,0.534,0.09,0.73,0.550,0.041,0.10
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.67,0.299,0.03,0.67,0.316,0.037,0.16
129-1,0.96,0.448,0.37,0.96,0.450,0.032,0.38
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,0.448,0.37,0.96,0.450,0.032,0.38
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.36,0.492,0.10,0.36,0.493,0.068,0.25
131-2,0.45,0.575,0.10,0.45,0.574,0.060,0.11
131-3,0.97,0.303,0.17,0.97,0.312,0.033,0.13
132-1,1.00,0.508,0.52,1.00,0.513,0.034,0.52
132-2,1.00,0.451,0.43,1.00,0.452,0.036,0.45
65-1,1.00,0.299,0.43,1.00,0.301,0.022,0.42
65-2,1.00,0.290,0.37,1.00,0.293,0.021,0.36
65-3,1.00,0.294,0.37,1.00,0.295,0.020,0.38
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.448,0.81,1.00,0.453,0.033,0.73
69-2,1.00,0.428,0.67,1.00,0.434,0.032,0.63
70-1,1.00,0.446,0.08,1.00,0.449,0.033,0.08
70-2,1.00,0.389,0.10,1.00,0.389,0.024,0.10
70-3,1.00,0.293,0.16,1.00,0.295,0.020,0.15
72-1,1.00,0.461,0.01,1.00,0.459,0.031,0.01
72-2,0.97,0.378,0.01,0.97,0.377,0.034,0.01
73-1,1.00,0.335,0.99,1.00,0.338,0.034,0.96
73-2,1.00,0.342,0.99,1.00,0.345,0.034,0.97
73-3,0.99,0.382,1.00,0.99,0.382,0.031,0.96
74-1,0.42,0.362,0.04,0.42,0.378,0.051,0.07
74-2,0.99,0.399,0.18,0.99,0.406,0.033,0.15
75-1,1.00,0.459,0.66,1.00,0.466,0.033,0.68
75-2,1.00,0.458,0.67,1.00,0.459,0.034,0.64
79-1,0.60,0.523,0.21,0.60,0.529,0.044,0.26
79-2,0.21,0.449,0.31,0.21,0.451,0.094,0.22
79-3,0.88,0.561,0.01,0.88,0.563,0.032,0.10
80-1,0.51,0.419,0.09,0.51,0.434,0.054,0.12
80-2,0.99,0.455,0.18,0.99,0.455,0.036,0.19
81-1,0.36,0.450,0.04,0.36,0.448,0.074,0.13
