ID-model,GO:0003674,GO:0003824,GO:0005488,GO:0003723,GO:0097159,GO:1901363,GO:0003676,GO:0003729,GO:0005515
BLAST-S11,NaN,0.72,0.63,0.63,0.58,0.60,0.58,0.61,0.77
BLAST-S14,NaN,0.68,0.66,0.62,0.60,0.60,0.57,0.56,0.55
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.62,0.48,0.66,0.67,0.67,0.63,0.53,0.65
101-2,NaN,0.64,0.47,0.56,0.62,0.62,0.59,0.53,0.49
101-3,NaN,0.66,0.59,0.66,0.68,0.68,0.64,0.53,0.70
102-1,NaN,0.63,0.70,0.71,0.72,0.72,0.68,0.67,0.70
102-2,NaN,0.67,0.68,0.71,0.71,0.71,0.67,0.65,0.64
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.64,0.58,0.63,0.69,0.69,0.64,0.50,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.64,0.68,0.89,0.82,0.82,0.82,0.86,0.58
105-2,NaN,0.71,0.54,0.83,0.77,0.77,0.80,0.66,0.51
105-3,NaN,0.71,0.61,0.68,0.66,0.66,0.69,0.46,0.55
106-1,NaN,0.58,0.49,0.51,0.62,0.62,0.56,0.50,0.54
106-2,NaN,0.52,0.36,0.50,0.56,0.56,0.50,0.50,0.49
106-3,NaN,0.51,0.48,0.50,0.50,0.50,0.49,0.50,0.50
107-1,NaN,0.70,0.63,0.81,0.79,0.79,0.78,0.61,0.57
107-2,NaN,0.74,0.49,0.77,0.69,0.69,0.63,0.62,0.44
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.66,0.76,0.64,0.61,0.61,0.60,0.59,0.91
110-2,NaN,0.68,0.66,0.67,0.69,0.69,0.65,0.62,0.62
