ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.374,0.36,0.97,0.385,0.042,0.35
BLAST-S14,0.97,0.359,0.36,0.97,0.366,0.044,0.36
Naive-S11,1.00,0.388,0.30,1.00,0.392,0.047,0.36
Naive-S14,1.00,0.354,0.17,1.00,0.354,0.037,0.17
101-1,0.82,0.507,0.34,0.82,0.515,0.041,0.31
101-2,0.79,0.608,0.10,0.79,0.605,0.049,0.11
101-3,0.82,0.541,0.24,0.82,0.547,0.051,0.17
102-1,0.97,0.539,0.23,0.97,0.557,0.042,0.42
102-2,0.85,0.544,0.72,0.85,0.547,0.055,0.71
102-3,0.03,0.842,0.61,0.03,0.842,0.000,0.61
103-1,0.70,0.524,0.15,0.70,0.527,0.048,0.22
103-2,0.76,0.536,0.15,0.76,0.541,0.053,0.27
103-3,0.73,0.548,0.17,0.73,0.546,0.061,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.91,0.450,0.91,0.91,0.446,0.045,0.87
105-2,0.85,0.490,0.99,0.85,0.487,0.049,0.99
105-3,0.91,0.469,1.00,0.91,0.463,0.044,1.00
106-1,0.79,0.442,0.10,0.79,0.440,0.062,0.18
106-2,0.48,0.346,0.78,0.48,0.346,0.091,0.81
106-3,0.39,0.555,0.20,0.39,0.560,0.088,0.19
107-1,1.00,0.398,0.72,1.00,0.422,0.040,0.67
107-2,1.00,0.429,0.04,1.00,0.429,0.047,0.05
107-3,0.97,0.400,0.03,0.97,0.403,0.048,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.94,0.517,0.60,0.94,0.526,0.051,0.59
110-2,0.88,0.483,0.12,0.88,0.490,0.054,0.13
110-3,1.00,0.166,0.31,1.00,0.181,0.032,0.52
111-1,0.94,0.517,0.60,0.94,0.526,0.051,0.59
111-2,1.00,0.166,0.31,1.00,0.181,0.032,0.52
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.446,0.31,1.00,0.456,0.051,0.40
112-2,1.00,0.463,0.31,1.00,0.465,0.052,0.37
112-3,1.00,0.420,0.29,1.00,0.424,0.055,0.32
113-1,1.00,0.443,0.31,1.00,0.441,0.055,0.31
113-2,1.00,0.161,0.31,1.00,0.168,0.037,0.34
113-3,0.85,0.509,0.60,0.85,0.513,0.058,0.62
114-1,1.00,0.507,0.90,1.00,0.512,0.039,0.90
115-1,1.00,0.482,0.31,1.00,0.483,0.045,0.32
116-1,0.82,0.521,0.42,0.82,0.520,0.057,0.49
116-2,0.67,0.412,0.42,0.67,0.408,0.064,0.45
117-1,1.00,0.462,0.05,1.00,0.466,0.034,0.06
117-2,0.09,0.589,1.00,0.09,0.586,0.245,1.00
119-1,0.97,0.464,0.63,0.97,0.481,0.045,0.72
120-1,1.00,0.501,0.97,1.00,0.498,0.043,0.97
120-2,1.00,0.331,0.37,1.00,0.339,0.035,0.38
120-3,0.79,0.320,0.67,0.79,0.326,0.044,0.62
121-1,0.73,0.552,0.60,0.73,0.547,0.055,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.76,0.569,0.01,0.76,0.575,0.056,0.16
122-1,0.48,0.458,0.71,0.48,0.456,0.076,0.73
124-1,1.00,0.380,0.32,1.00,0.393,0.041,0.28
124-2,1.00,0.244,0.15,1.00,0.256,0.033,0.19
124-3,1.00,0.357,0.32,1.00,0.370,0.041,0.27
125-1,0.97,0.514,0.90,0.97,0.519,0.039,0.90
125-2,0.97,0.403,0.34,0.97,0.407,0.044,0.31
125-3,0.94,0.417,0.57,0.94,0.423,0.044,0.52
126-1,0.18,0.603,0.56,0.18,0.590,0.146,0.63
127-1,0.79,0.409,0.69,0.79,0.440,0.049,0.57
127-2,0.79,0.408,0.23,0.79,0.439,0.058,0.17
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.61,0.414,0.20,0.61,0.434,0.066,0.35
129-1,0.91,0.440,0.54,0.91,0.455,0.053,0.57
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.91,0.440,0.54,0.91,0.455,0.053,0.57
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.58,0.526,1.00,0.58,0.521,0.064,0.89
131-2,0.64,0.549,0.05,0.64,0.544,0.057,0.19
131-3,0.67,0.501,0.31,0.67,0.505,0.065,0.26
132-1,1.00,0.423,0.51,1.00,0.443,0.048,0.48
132-2,1.00,0.414,0.29,1.00,0.427,0.049,0.38
65-1,1.00,0.307,0.33,1.00,0.327,0.034,0.27
65-2,0.97,0.312,0.33,0.97,0.333,0.035,0.27
65-3,1.00,0.311,0.22,1.00,0.328,0.035,0.28
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.460,0.34,1.00,0.467,0.044,0.34
69-2,1.00,0.448,0.14,1.00,0.456,0.047,0.32
70-1,1.00,0.512,0.11,1.00,0.523,0.039,0.22
70-2,1.00,0.285,0.10,1.00,0.294,0.029,0.11
70-3,1.00,0.319,0.09,1.00,0.321,0.022,0.09
72-1,0.94,0.552,0.01,0.94,0.550,0.050,0.01
72-2,0.94,0.379,0.01,0.94,0.378,0.057,0.01
73-1,1.00,0.457,0.89,1.00,0.463,0.045,0.90
73-2,1.00,0.455,0.90,1.00,0.461,0.045,0.93
73-3,0.94,0.468,0.87,0.94,0.473,0.044,0.91
74-1,0.55,0.548,0.09,0.55,0.549,0.070,0.07
74-2,0.82,0.538,0.44,0.82,0.541,0.056,0.34
75-1,1.00,0.469,0.70,1.00,0.474,0.044,0.63
75-2,1.00,0.470,0.70,1.00,0.475,0.045,0.56
79-1,0.55,0.486,0.19,0.54,0.491,0.071,0.19
79-2,0.30,0.474,0.23,0.30,0.493,0.097,0.32
79-3,0.88,0.592,0.11,0.88,0.596,0.039,0.19
80-1,0.61,0.552,0.09,0.61,0.552,0.067,0.10
80-2,0.85,0.520,0.52,0.85,0.524,0.050,0.48
81-1,0.67,0.455,0.59,0.67,0.451,0.066,0.68
81-2,0.67,0.455,0.59,0.67,0.451,0.066,0.68
82-1,0.70,0.425,0.63,0.70,0.442,0.057,0.64
83-1,1.00,0.463,0.28,1.00,0.470,0.036,0.30
83-2,1.00,0.470,0.28,1.00,0.477,0.038,0.28
84-1,1.00,0.336,0.39,1.00,0.343,0.032,0.36
85-1,0.76,0.547,0.23,0.76,0.551,0.062,0.22
85-2,0.76,0.547,0.23,0.76,0.551,0.062,0.22
86-1,0.45,0.469,1.00,0.45,0.472,0.086,0.91
86-2,0.45,0.469,1.00,0.45,0.472,0.086,0.91
86-3,0.39,0.540,0.55,0.39,0.540,0.083,0.64
87-1,0.79,0.525,0.37,0.79,0.530,0.060,0.37
87-2,0.79,0.530,0.18,0.79,0.530,0.058,0.18
87-3,0.73,0.540,0.38,0.73,0.548,0.062,0.40
88-1,0.97,0.418,0.10,0.97,0.417,0.061,0.18
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.88,0.297,1.00,0.88,0.295,0.052,1.00
93-2,0.94,0.211,1.00,0.94,0.208,0.053,1.00
94-1,0.97,0.525,1.00,0.97,0.522,0.056,0.93
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.402,0.52,1.00,0.409,0.040,0.51
99-1,0.79,0.397,0.10,0.79,0.402,0.059,0.10
